"","id","season","city","date","team1","team2","toss_winner","toss_decision","result","dl_applied","winner","win_by_runs","win_by_wickets","player_of_match","venue","umpire1","umpire2","umpire3"
"182",187,2011,"Jaipur",2011-04-15,"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,9,"G Gambhir","Sawai Mansingh Stadium","Aleem Dar","SS Hazare",NA
"183",188,2011,"Mumbai",2011-04-15,"Mumbai Indians","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Kochi Tuskers Kerala",0,8,"BB McCullum","Wankhede Stadium","BR Doctrove","PR Reiffel",NA
"184",189,2011,"Chennai",2011-04-16,"Chennai Super Kings","Royal Challengers Bangalore","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",21,0,"MEK Hussey","MA Chidambaram Stadium, Chepauk","HDPK Dharmasena","AL Hill",NA
"185",190,2011,"Hyderabad",2011-04-16,"Deccan Chargers","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Kings XI Punjab",0,8,"PC Valthaty","Rajiv Gandhi International Stadium, Uppal","RE Koertzen","S Ravi",NA
"186",191,2011,"Mumbai",2011-04-17,"Pune Warriors","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Delhi Daredevils",0,3,"Yuvraj Singh","Dr DY Patil Sports Academy","Asad Rauf","AM Saheba",NA
"187",192,2011,"Kolkata",2011-04-17,"Rajasthan Royals","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,8,"L Balaji","Eden Gardens","Aleem Dar","RB Tiffin",NA
"188",194,2011,"Delhi",2011-04-19,"Deccan Chargers","Delhi Daredevils","Deccan Chargers","bat","normal",0,"Deccan Chargers",16,0,"S Sohal","Feroz Shah Kotla","PR Reiffel","RJ Tucker",NA
"189",195,2011,"Mumbai",2011-04-20,"Pune Warriors","Mumbai Indians","Pune Warriors","bat","normal",0,"Mumbai Indians",0,7,"MM Patel","Wankhede Stadium","Asad Rauf","AM Saheba",NA
"190",196,2011,"Kolkata",2011-04-20,"Kochi Tuskers Kerala","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kochi Tuskers Kerala",6,0,"DPMD Jayawardene","Eden Gardens","Aleem Dar","RB Tiffin",NA
"191",197,2011,"Chandigarh",2011-04-21,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Kings XI Punjab",48,0,"SE Marsh","Punjab Cricket Association Stadium, Mohali","S Asnani","PR Reiffel",NA
"192",198,2011,"Mumbai",2011-04-22,"Mumbai Indians","Chennai Super Kings","Chennai Super Kings","field","normal",0,"Mumbai Indians",8,0,"Harbhajan Singh","Wankhede Stadium","Asad Rauf","AM Saheba",NA
"193",199,2011,"Kolkata",2011-04-22,"Kolkata Knight Riders","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,9,"CH Gayle","Eden Gardens","SS Hazare","RB Tiffin",NA
"194",200,2011,"Delhi",2011-04-23,"Delhi Daredevils","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Delhi Daredevils",29,0,"DA Warner","Feroz Shah Kotla","S Asnani","RE Koertzen",NA
"195",201,2011,"Hyderabad",2011-04-24,"Mumbai Indians","Deccan Chargers","Deccan Chargers","field","normal",0,"Mumbai Indians",37,0,"SL Malinga","Rajiv Gandhi International Stadium, Uppal","HDPK Dharmasena","AL Hill",NA
"196",202,2011,"Jaipur",2011-04-24,"Kochi Tuskers Kerala","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,8,"SK Warne","Sawai Mansingh Stadium","BR Doctrove","SK Tarapore",NA
"197",203,2011,"Chennai",2011-04-25,"Chennai Super Kings","Pune Warriors","Pune Warriors","field","normal",0,"Chennai Super Kings",25,0,"MEK Hussey","MA Chidambaram Stadium, Chepauk","Aleem Dar","RB Tiffin",NA
"198",204,2011,"Delhi",2011-04-26,"Delhi Daredevils","Royal Challengers Bangalore","Royal Challengers Bangalore","field","normal",0,"Royal Challengers Bangalore",0,3,"V Kohli","Feroz Shah Kotla","S Asnani","RJ Tucker",NA
"199",205,2011,"Mumbai",2011-04-27,"Pune Warriors","Chennai Super Kings","Pune Warriors","bat","normal",0,"Chennai Super Kings",0,8,"DE Bollinger","Dr DY Patil Sports Academy","Asad Rauf","SL Shastri",NA
"200",206,2011,"Kochi",2011-04-27,"Deccan Chargers","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Deccan Chargers",55,0,"I Sharma","Nehru Stadium","HDPK Dharmasena","AL Hill",NA
"201",207,2011,"Delhi",2011-04-28,"Kolkata Knight Riders","Delhi Daredevils","Delhi Daredevils","field","normal",0,"Kolkata Knight Riders",17,0,"MK Tiwary","Feroz Shah Kotla","PR Reiffel","RJ Tucker",NA
"202",208,2011,"Jaipur",2011-04-29,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,7,"J Botha","Sawai Mansingh Stadium","Asad Rauf","SK Tarapore",NA
"203",209,2011,"Bangalore",2011-04-29,"Royal Challengers Bangalore","Pune Warriors","Pune Warriors","field","normal",0,"Royal Challengers Bangalore",26,0,"V Kohli","M Chinnaswamy Stadium","Aleem Dar","SS Hazare",NA
"204",210,2011,"Kochi",2011-04-30,"Delhi Daredevils","Kochi Tuskers Kerala","Delhi Daredevils","bat","normal",0,"Delhi Daredevils",38,0,"V Sehwag","Nehru Stadium","HDPK Dharmasena","AL Hill",NA
"205",211,2011,"Kolkata",2011-04-30,"Kings XI Punjab","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kolkata Knight Riders",0,8,"Iqbal Abdulla","Eden Gardens","AM Saheba","SL Shastri",NA
"206",212,2011,"Jaipur",2011-05-01,"Pune Warriors","Rajasthan Royals","Rajasthan Royals","field","normal",0,"Rajasthan Royals",0,6,"LRPL Taylor","Sawai Mansingh Stadium","SK Tarapore","SJA Taufel",NA
"207",213,2011,"Chennai",2011-05-01,"Chennai Super Kings","Deccan Chargers","Chennai Super Kings","bat","normal",0,"Chennai Super Kings",19,0,"JA Morkel","MA Chidambaram Stadium, Chepauk","Aleem Dar","RB Tiffin",NA
"208",214,2011,"Mumbai",2011-05-02,"Mumbai Indians","Kings XI Punjab","Kings XI Punjab","field","normal",0,"Mumbai Indians",23,0,"KA Pollard","Wankhede Stadium","HDPK Dharmasena","PR Reiffel",NA
"209",215,2011,"Delhi",2011-05-02,"Delhi Daredevils","Kochi Tuskers Kerala","Kochi Tuskers Kerala","field","normal",0,"Kochi Tuskers Kerala",0,7,"P Parameswaran","Feroz Shah Kotla","Asad Rauf","SL Shastri",NA
"210",216,2011,"Hyderabad",2011-05-03,"Kolkata Knight Riders","Deccan Chargers","Deccan Chargers","field","normal",0,"Kolkata Knight Riders",20,0,"YK Pathan","Rajiv Gandhi International Stadium, Uppal","S Asnani","RJ Tucker",NA
"211",217,2011,"Chennai",2011-05-04,"Rajasthan Royals","Chennai Super Kings","Rajasthan Royals","bat","normal",0,"Chennai Super Kings",0,8,"MEK Hussey","MA Chidambaram Stadium, Chepauk","SS Hazare","RB Tiffin",NA
"212",218,2011,"Mumbai",2011-05-04,"Mumbai Indians","Pune Warriors","Pune Warriors","field","normal",0,"Mumbai Indians",21,0,"R Sharma","Dr DY Patil Sports Academy","HDPK Dharmasena","SJA Taufel",NA
"213",219,2011,"Kochi",2011-05-05,"Kochi Tuskers Kerala","Kolkata Knight Riders","Kolkata Knight Riders","field","normal",0,"Kochi Tuskers Kerala",17,0,"BJ Hodge","Nehru Stadium","S Ravi","RJ Tucker",NA
